,Predicted_Alu_Bhorta,Predicted_Bakorkhani,Predicted_Balosai,Predicted_Beef Kala Bhuna,Predicted_Beguni,Predicted_Biryani,Predicted_Chola_bhuna,Predicted_Cream Jam,Predicted_Dim Bhuna,Predicted_Doi,Predicted_Dudh Puli PItha,Predicted_Egg_omlete,Predicted_Faluda,Predicted_Golap Jam,Predicted_Hafsi Sondesh,Predicted_Haleem,Predicted_Hilsha_fish,Predicted_Jilapi,Predicted_Kabab,Predicted_Kacha  Chana,Predicted_Kacha Golla,Predicted_Kalojam,Predicted_Kasmiri Chomchom,Predicted_Khichuri,Predicted_Lemon Barfi,Predicted_Malaikari,Predicted_Maoyaa Laddo,Predicted_Morog_polao,Predicted_Nehari,Predicted_Nokshi Pitha,Predicted_Pakon Pitha,Predicted_Panta Ilish,Predicted_Patishapta,Predicted_Payesh,Predicted_Phuchka,Predicted_Porota,Predicted_Rajvog,Predicted_Ravogsai,Predicted_Roshmalai,Predicted_Rosogolla,Predicted_S.P.Chomchom,Predicted_Sada Chomchom,Predicted_Sajer Pitha,Predicted_Shamok Pitha,Predicted_Shemai
Actual_Alu_Bhorta,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0
Actual_Bakorkhani,0,11,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Actual_Balosai,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Beef Kala Bhuna,0,0,0,33,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Actual_Beguni,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Actual_Biryani,0,0,0,0,0,45,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Chola_bhuna,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,4,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Actual_Cream Jam,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Dim Bhuna,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Doi,0,1,0,0,1,0,0,0,0,41,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0
